employee_id,age,department,education_level,region,remote_work,years_experience,monthly_salary,performance_score,satisfaction_score,bonus_pct
1225,,Engineering,Masters,East,No,21.2,"$12,147.21",,75.4,6.16
1364,41.0,Sales,PhD,North,No,16.3,"$7,636.56",9.3,45.2,10.24
1048,,Engineering,Bachelors,West,No,25.8,"$12,543.72",6.9,67.4,1.64
1614,49.0,HR,PhD,West,Yes,26.7,"$9,306.62",6.4,59.1,
1375,47.0,Sales,Masters,North,No,24.4,"$8,989.28",7.2,59.3,1.83
1461,39.0,Marketing,Bachelors,North,Yes,17.8,"$8,206.24",,57.9,1.44
1592,25.0,Engineering,Bachelors,East,Yes,0.0,"$8,905.69",5.9,53.7,2.05
1024,38.0,Finance,Masters,West,No,18.6,"$9,300.80",6.8,56.9,
1464,50.0,Engineering,PhD,North,No,31.2,"$13,610.11",7.2,92.7,2.32
1105,47.0,Support,Masters,North,Yes,18.1,"$7,546.37",7.6,98.3,3.39
1450,36.0,Marketing,Bachelors,East,Yes,11.3,"$7,222.62",9.0,77.2,0.21
1585,26.0,Finance,Bachelors,East,Yes,1.7,"$6,928.66",7.9,60.6,2.88
1234,22.0,Marketing,Bachelors,East,Yes,3.9,"$6,351.05",5.7,88.6,2.93
1361,47.0,HR,Masters,West,No,23.4,"$9,023.23",6.1,62.8,1.3
1499,40.0,Engineering,Bachelors,North,Yes,19.8,"$11,275.22",6.2,87.0,0.7
1061,41.0,Support,PhD,South,Yes,27.2,"$9,437.78",6.4,,10.29
1070,48.0,Engineering,PhD,West,No,26.4,"$12,461.01",7.4,58.4,
1620,32.0,Sales,Bachelors,South,Yes,5.7,"$6,534.20",7.1,78.4,0.77
1489,28.0,Marketing,High School,North,No,8.8,"$7,538.38",5.6,78.4,3.74
1488,37.0,Engineering,Bachelors,North,Yes,14.4,"$10,924.53",5.8,77.9,0.43
1547,43.0,Engineering,Bachelors,East,Yes,21.3,"$11,742.62",8.2,66.0,
1249,43.0,Engineering,Bachelors,South,No,19.4,"$11,633.75",5.7,100.0,
1336,41.0,Marketing,PhD,North,No,18.9,"$8,270.79",6.7,100.0,
1511,34.0,Sales,High School,East,No,10.7,"$6,893.81",6.4,74.4,
1454,,Sales,Masters,South,Yes,2.0,"$5,748.40",6.9,71.5,10.8
1260,37.0,Marketing,Bachelors,South,Yes,16.6,"$8,752.69",,,2.37
1261,37.0,Sales,Masters,North,Yes,18.4,"$7,778.97",6.7,94.1,2.29
1162,24.0,Finance,High School,South,Yes,1.6,"$6,676.09",7.1,59.6,
1523,34.0,Sales,Bachelors,South,No,12.8,"$7,050.16",5.9,65.1,14.56
1379,40.0,Engineering,Masters,South,No,15.1,"$10,796.54",7.6,79.0,5.17
1173,36.0,Engineering,Bachelors,North,Yes,12.4,"$10,405.78",6.2,95.1,6.86
1203,33.0,Marketing,Masters,West,No,16.2,"$8,261.82",5.8,42.9,0.66
1482,42.0,Sales,Bachelors,West,No,21.9,"$8,464.77",7.7,60.2,1.15
1160,44.0,Support,PhD,South,Yes,18.7,"$7,266.61",6.7,66.1,1.92
1359,41.0,Engineering,Masters,East,Yes,16.4,"$11,404.09",5.9,66.7,
1215,37.0,Support,High School,North,No,12.1,"$6,379.74",8.7,69.7,
1112,63.0,Sales,Bachelors,North,No,40.4,"$11,251.25",6.1,68.8,
1548,36.0,Sales,Masters,West,No,10.8,"$6,833.63",8.1,56.0,1.87
1305,33.0,Finance,PhD,East,No,9.9,"$7,934.65",5.2,71.7,3.28
1609,29.0,Support,Bachelors,South,No,3.1,"$5,115.23",6.4,72.4,4.74
1650,39.0,Sales,Bachelors,South,No,19.8,"$8,011.61",7.2,66.2,19.84
1014,30.0,Finance,High School,East,Yes,9.2,"$8,281.78",8.8,66.5,2.89
1336,41.0,Marketing,PhD,North,No,18.9,"$8,270.79",6.7,100.0,
1369,44.0,Engineering,High School,East,Yes,21.2,"$11,557.28",5.4,50.0,1.23
1042,43.0,Finance,Masters,South,No,16.3,"$9,301.94",5.8,60.6,
1537,23.0,Marketing,Bachelors,East,Yes,7.1,"$7,032.31",,65.3,1.65
1366,31.0,Engineering,Bachelors,East,Yes,5.7,"$9,207.33",7.5,48.0,
1060,42.0,Sales,Bachelors,North,Yes,22.3,"$33,339.76",6.7,38.8,0.11
1387,45.0,Support,Bachelors,East,Yes,26.3,"$9,501.43",3.8,65.9,
1453,43.0,Support,Masters,West,Yes,20.8,"$7,729.99",7.0,100.0,
1082,55.0,Engineering,High School,North,Yes,31.4,"$13,001.16",7.5,72.8,2.11
1224,45.0,HR,Bachelors,West,No,17.0,"$7,900.24",6.8,65.6,0.24
1582,54.0,Marketing,Bachelors,North,No,31.3,"$9,980.94",6.6,,2.41
1546,47.0,Engineering,Bachelors,East,No,25.0,"$12,284.01",6.0,51.2,0.64
1237,26.0,Engineering,Bachelors,West,No,0.4,"$8,846.30",5.2,71.0,1.6
1640,28.0,Finance,Bachelors,North,No,4.9,"$7,351.06",5.3,80.1,1.23
1577,47.0,Finance,Bachelors,East,No,22.9,"$10,142.77",,84.4,4.27
1441,,Finance,Bachelors,South,No,14.4,"$8,663.12",5.0,75.7,0.13
1586,32.0,Marketing,High School,West,No,9.7,"$7,265.67",5.9,,3.41
1140,61.0,Sales,Masters,South,Yes,36.0,"$10,611.74",9.4,78.8,0.86
1348,51.0,Engineering,High School,South,No,34.0,"$13,578.24",5.6,71.7,11.32
1182,41.0,Finance,Bachelors,West,Yes,20.3,"$9,671.28",5.5,64.0,10.94
1243,50.0,Engineering,Bachelors,West,Yes,28.5,"$12,971.00",7.5,66.7,3.03
1067,48.0,Marketing,Bachelors,North,No,22.2,"$9,398.33",8.5,55.6,3.73
1186,30.0,Support,Bachelors,North,Yes,4.5,"$5,460.99",5.0,68.2,
1093,42.0,Engineering,Masters,West,No,22.0,"$11,738.22",6.4,78.0,
1355,50.0,Engineering,Masters,South,Yes,32.4,"$13,516.20",7.0,84.1,
1442,34.0,Sales,Masters,South,No,12.5,"$6,928.99",5.8,55.1,
1580,30.0,Engineering,High School,North,Yes,3.6,"$9,046.12",7.3,84.1,2.07
1404,31.0,Sales,High School,West,No,11.3,"$6,681.89",8.0,85.8,
1086,45.0,Sales,Masters,South,No,26.8,"$9,438.87",8.0,87.9,4.43
1306,48.0,Engineering,Masters,West,No,29.0,"$12,741.83",6.4,93.8,13.25
1347,44.0,HR,Masters,East,No,21.7,"$8,553.80",7.4,70.0,4.02
1219,,HR,High School,North,No,25.4,"$9,474.99",4.8,70.5,1.02
1174,32.0,HR,Masters,East,No,7.3,"$6,388.03",,75.3,
1312,30.0,Engineering,Bachelors,North,No,10.9,"$10,367.85",,70.7,0.14
1443,36.0,Support,Bachelors,South,No,16.0,"$6,862.55",5.5,83.6,0.55
1035,43.0,Engineering,Masters,North,Yes,19.4,"$11,325.90",7.5,63.3,
